cluster	column	gt_label	rank	predicted_label	probability	gt_in_topk
datetime	iso_8601_milliseconds	datetime.timestamp.iso_8601_milliseconds	1	representation.identifier.numeric_code	0.669494	NO
datetime	iso_8601_milliseconds	datetime.timestamp.iso_8601_milliseconds	2	datetime.timestamp.iso_microseconds	0.151136	NO
datetime	iso_8601_milliseconds	datetime.timestamp.iso_8601_milliseconds	3	representation.identifier.alphanumeric_id	0.113877	NO
datetime	iso_8601_milliseconds	datetime.timestamp.iso_8601_milliseconds	4	representation.numeric.integer_number	0.019132	NO
datetime	iso_8601_milliseconds	datetime.timestamp.iso_8601_milliseconds	5	representation.text.plain_text	0.012576	NO
datetime	iso_microseconds	datetime.timestamp.iso_microseconds	1	representation.identifier.numeric_code	0.719478	NO
datetime	iso_microseconds	datetime.timestamp.iso_microseconds	2	representation.text.plain_text	0.100589	NO
datetime	iso_microseconds	datetime.timestamp.iso_microseconds	3	representation.identifier.alphanumeric_id	0.068713	NO
datetime	iso_microseconds	datetime.timestamp.iso_microseconds	4	finance.currency.amount_space	0.045980	NO
datetime	iso_microseconds	datetime.timestamp.iso_microseconds	5	representation.numeric.integer_number	0.018788	NO
datetime	jp_era_short	datetime.date.jp_era_short	1	representation.identifier.alphanumeric_id	0.283075	NO
datetime	jp_era_short	datetime.date.jp_era_short	2	identity.commerce.isbn	0.218695	NO
datetime	jp_era_short	datetime.date.jp_era_short	3	representation.text.plain_text	0.207151	NO
datetime	jp_era_short	datetime.date.jp_era_short	4	representation.numeric.decimal_number	0.130389	NO
datetime	jp_era_short	datetime.date.jp_era_short	5	representation.numeric.integer_number	0.067911	NO
datetime	pg_short_offset	datetime.timestamp.pg_short_offset	1	datetime.timestamp.rfc_3339	0.638266	NO
datetime	pg_short_offset	datetime.timestamp.pg_short_offset	2	datetime.timestamp.iso_8601_offset	0.307739	NO
datetime	pg_short_offset	datetime.timestamp.pg_short_offset	3	representation.text.plain_text	0.014295	NO
datetime	pg_short_offset	datetime.timestamp.pg_short_offset	4	datetime.date.short_dmy	0.012866	NO
datetime	pg_short_offset	datetime.timestamp.pg_short_offset	5	datetime.time.hms_24h	0.008831	NO
datetime	ordinal	datetime.date.ordinal	1	datetime.date.month_year_full	0.497957	NO
datetime	ordinal	datetime.date.ordinal	2	datetime.date.abbreviated_month	0.269648	NO
datetime	ordinal	datetime.date.ordinal	3	geography.location.region	0.056718	NO
datetime	ordinal	datetime.date.ordinal	4	representation.text.plain_text	0.048066	NO
datetime	ordinal	datetime.date.ordinal	5	geography.location.city	0.036074	NO
