column_name	sample_values_truncated
lucy	member│'GRAY│XD│Weiss│Cana
longName	Northern Data AG│Northern Data AG│Northern Data AG│Northern Data AG
Wind Direction	WSW│SW│SW│SW│WSW│WNW│Variable│Calm
TEAM_CITY	Milwaukee│Milwaukee│Milwaukee│Milwaukee│Milwaukee│Milwaukee│Milwaukee│Milwaukee
Wind Direction	North│Variable│NNE│Calm│Calm│Calm│Calm│Calm
County	COLUSA│MARIPOSA│SUTTER│County│MARIPOSA│SUTTER│County│COLUSA
SCNCA	Time│Pasadena,CA,0:50:14.93,The│Niguel,CA,0:52:58.93,Pinnaclife│Village,CA,0:56:08.51,│Time│(Fritz),Tomasello,Dana
Recommended Action	Critical│Critical│Average│Major│Major│Major│Major│Major
__index_level_1__	Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium
Vendor	Vendor1│Vendor1│Vendor1│Vendor1│Vendor1│Vendor1│Vendor1│Vendor1
Spring	Road│Dropouts│Sharks│Cycling│Sharks│Velosport│Cycling
Wind Direction	SW│Calm│Calm│Calm│SE│SSE│SSE│South
Type	World│Label/Separator│Development Group│Development Group│Development Group│Development Group│Development Group│Special other
TEAM_CITY	Utah│Utah│Utah│Utah│Utah│Utah│Utah│Utah
TEAM_CITY	Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota
player	HAMLET│POLONIUS│POLONIUS│POLONIUS│HAMLET│HAMLET│HAMLET│GERTRUDE
Shutdown Attribution	Local Government│Executive Government│Local Government │Local Government │Local Government│Executive Government│Local Government
RDWebAI.dll	RDWebAI.dll│RDWebAI.dll│RDWebAI.dll│RDWebAI.dll│RDWebAI.dll│RDWebAI.dll│RDWebAI.dll│RDWebAI.dll
TEAM_CITY	Indiana│Indiana│Indiana│Indiana│Indiana│Indiana│Indiana│Indiana
types	Sorcery│Creature│Creature│Sorcery│Sorcery│Instant│Instant│Creature
Method	Main│Main│Main│Main│Main│Main│Main│Main
name	Alabama│Alaska│Arizona│Arkansas│California│Colorado│Connecticut│Delaware
Place	Boston, MA│Boston, MA│Cham│Cham│Cham│Cham
property_owner_addrprovince	TX│TX│TX│TX│TX│TX│TX│TX
Wind Direction	North│Calm│Calm│Calm│Calm│East│Calm│Calm
Wind Direction	Calm│Calm│Calm│Calm│Calm│Calm│ESE│East
was_home	South Curtis│Hoffmanview│East Brianview│Warrenshire│Lauriemouth│Silvaview│Jessehaven│South Alexandra
origin_cf_job	unskilled - resident│unskilled - resident
recipient_location_state_code	NJ│00│NJ
lead_organisation_category	Governmental│Governmental│Governmental│Governmental│Governmental│Governmental│Governmental│Governmental
__index_level_1__	Cross Country│Cross Country│Cross Country│Cross Country│Cross Country│Cross Country│Cross Country│Cross Country
interest_represented	Agriculture
DL State	KY│KY│KY│FL│FL│FL│FL
ENGTYPE_1	Region│Region│Region│Region│Region│Region│Province│Region
Aa	Abacus│Abbey│Abdomen│Ability│Abolishment│Ab│Accele│Accele
a	Valley
TEAM_CITY	Memphis│Memphis│Memphis│Memphis│Memphis│Memphis│Memphis│Memphis
TEAM_CITY	Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota
dominant_object	Hand│Hand│Hand│Hand│Hand│HandToWrist│HandToWrist│Hand
Namespace	GeoUserPreferredDataLocation│GeoUserPreferredDataLocation
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
__index_level_1__	CROSS COUNTRY│CROSS COUNTRY│CROSS COUNTRY│CROSS COUNTRY│CROSS COUNTRY│CROSS COUNTRY│CROSS COUNTRY│CROSS COUNTRY
property_owner_addrprovince	FL│FL
Ruckus	Cross│Cross
Event	Running│InputWindowOpen│KeyDown│KeyDown│KeyDown│KeyDown│KeySequenceStopped│InputWindowClosed
TEAM_CITY	Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota
interaction_type	Pushed│RightGate│LeftGate│PickedUp│RightGate│RightGate│RightGate│LeftGate
OrganisationLabel	North Norfolk District Council│North Norfolk District Council│North Norfolk District Council│North Norfolk District Council│North Norfolk District Council│North Norfolk District Council│North Norfolk District Council│North Norfolk District Council
topic_0	Business│Business│Business│Business│Business│Business│Business│Business
-.1	WARDEN
__index_level_0__	If│It's│This│deals│In│[There]│Most│Accessible
Unnamed: 0	Alabama│Alaska│Arizona│Arkansas│California│Colorado│Connecticut│Delaware
Region	Latin America & Caribbean│South Asia│Sub-Saharan Africa│Europe & Central Asia│Europe & Central Asia│Middle East & North Africa│Latin America & Caribbean
County	Clark│Clark│Clark│Humboldt│Washoe│Lyon│Clark│Pershing
OrganisationLabel	North York Moors National Park Authority│North York Moors National Park Authority│North York Moors National Park Authority│North York Moors National Park Authority
name	Radiatispora│yunnanensis
Location Ancient	Rome│Rome│Rome│Rome│Rome│Rome│Rome│Rome
Wind Direction	SE│SSE│SSE│South│South│SW│East│SE
Twilight	Criterium│Specialized│Cruz,CA,,California│Rosa,CA,,McGuire│Angeles,CA,,Major│Specialized│Giant
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
extraction	D-POL│D-POL│D-POL│D-POL│D-POL│D-POL│D-POL│D-POL
Conditions	Clear│Clear│Clear│Clear│Clear│Clear│Clear│Scattered Clouds
location_name_filter	Attica (region), Greece│Attica (region), Greece│Attica (region), Greece│Attica (region), Greece│Attica (region), Greece│Attica (region), Greece│Attica (region), Greece│Attica (region), Greece
__index_level_29__	to│be
value	Aarabeere│Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili
Wind Direction	South│Calm│SSW│WSW│Calm│Calm│Calm│Calm
Unnamed: 0	Alabama│Alaska│Arizona│Arkansas│California│Colorado│Connecticut│Delaware
Wind Direction	East│ENE│Calm│Calm│NW│NW│Calm│ESE
Town / Village	Caernarfon Bay│Newport│Swansea│Caerphilly│Barry│Roath/Cardiff│A449/Llanwern/Newport│Llanfair Caereinion
name	Craigia│kwangsiensis│yunnanensis
Genre	Action│Shooter│Shooter│Action-Adventure│Misc│Shooter│Shooter│Role-Playing
interaction_type	PickedUp│RightGate│RightGate│LeftGate│RightGate│LeftGate│RightGate│LeftGate
__index_level_4__	Slim│Player│Peace:│Print│in│A-Line
groupingname	Grouping-1│Grouping-2│Grouping-3│Grouping-3│Grouping-2
REGIONE	LOMBARDIA│LOMBARDIA│LOMBARDIA│LOMBARDIA│LOMBARDIA│LOMBARDIA│LOMBARDIA│LOMBARDIA
TEAM_CITY	Los Angeles│Los Angeles│Los Angeles│Los Angeles│Los Angeles│Los Angeles│Los Angeles│Los Angeles
Wind Direction	ENE│East│East│East│SSE│ESE│Calm│NNE
code	CHEAONE│CHEATWO│CHOONE│CHOTWO
Region	Latin America & Caribbean│South Asia│Sub-Saharan Africa│Europe & Central Asia│Europe & Central Asia│Middle East & North Africa│Latin America & Caribbean
Wind Direction	SW│South│South│SSE│Calm│ENE│NNW│North
EstadoDoc	Si│Si│Si│Si│Si
Wind Direction	SW│WSW│Calm│Calm│Calm│Calm│West│Calm
interaction_type	Pushed│RightGate│PickedUp│LeftGate│RightGate│LeftGate│LeftGate│RightGate
Wind Direction	Calm│Calm│Calm│Calm│Calm│Calm│Calm│Calm
interaction_type	Pushed│PickedUp│LeftGate│RightGate│RightGate│LeftGate│LeftGate│LeftGate
Condition	Fair│Fair│Fair│Fair│Fair│Fair│Fair│Fair
Region	LA│MI│Asturias│Victoria
Wind Direction	Calm│WSW│SW│South│Calm│South│South│South
GEO.display-label	Geography│United States│North Carolina│Durham County, North Carolina│Forsyth County, North Carolina│Guilford County, North Carolina
Geographic Zone Parent Code	IND│IND│KL│TN│KL│TN
TEAM_CITY	Milwaukee│Milwaukee│Milwaukee│Milwaukee│Milwaukee│Milwaukee│Milwaukee│Milwaukee
Wind	W│WNW│NW│NNW│NW│WNW│NW│NNW
The	The│The│12│Schindler's│Pulp│Fight│Forrest│Inception
Wind Direction	Calm│Calm│Calm│Calm│NE│NE│Variable│NNW
Type	ClusterClient│ClusterClient│ClusterClient│ClusterClient│ClusterClient│ClusterClient│ClusterClient│ClusterClient
name	Ann Arbor│Back Lake│Contwoyto│Dawson City│Eskimo Point│Fort Chipewyan│Fort Churchill│Fort Simpson
__index_level_1__	Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium
Wind Direction	Calm│Calm│Calm│Calm│Calm│Calm│Calm│Calm
DL State	FL│FL│FL│FL│FL│FL│FL│MD
name	Hartleya│inopinata
Name	Demographics│Events│Places│Vulnerability
__index_level_1__	; Seasonally adjusted at annual rates                           │Quarterly data from 1947 To 2004│Bureau of Economic Analysis│Data published April 29, 2004    │File created 4/29/2004 11:00:57 AM│Line
name	Gynoisa│carolina
Publishers	Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal
Wind Direction	North│North│North│North│North│North│NNE│NNE
Wind Direction	West│WSW│West│West│WSW│West│WSW│West
TEAM_CITY	Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│LA
OrganisationLabel	Mid Devon│Mid Devon│Mid Devon│Mid Devon│Mid Devon│Mid Devon│Mid Devon│Mid Devon
was_home	Juliaborough│West Kevinville│South Sherri│West Jason│Camachobury│Alexandrastad│Royshire│Gonzalesville
Logan	Criterium│Cyclery/JW│Valley│Linda,CA,,Paramount│Mesa,CA,,UC│Beach,CA,,Paramount│AL
Active_BacVerNumber	Active_BacVerNumber│Active_BacVerNumber
Events	Fog│Fog
country_code_filter	LT│LT│LT│LT│LT│LT│LT│LT
name	Balu shahi│Boondi│Gajar ka halwa│Ghevar│Gulab jamun│Imarti│Jalebi│Kaju katli
Events	Fog│Fog
seq_TM-tmhmm	O│O│O│O│O│O│O│O
TEAM_CITY	Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City
Genre	Action│Shooter│Shooter│Action-Adventure│Misc│Shooter│Shooter│Role-Playing
__index_level_4__	Introduction│,0,
seq_TM-tmhmm	O│O│O│O│O│O│O│O
County	White Pine│Clark│Lyon│Clark│Washoe│Clark│Carson City│Clark
__index_level_35__	GLACCOUNT
stateProvince	Eastern Highlands Province│Eastern Highlands Province│Eastern Highlands Province│Eastern Highlands Province│Eastern Highlands Province│Eastern Highlands Province│Eastern Highlands Province│Eastern Highlands Province
lgID	AL│NL│AL│NL│AL│NL│AL│NL
interaction_type	RightGate│Pushed│RightGate│RightGate│LeftGate│PickedUp│RightGate│RightGate
__index_level_1__	Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium
president	TRUMAN│TRUMAN│TRUMAN│TRUMAN│TRUMAN│TRUMAN│TRUMAN│TRUMAN
interaction_type	Pushed│RightGate│PickedUp│LeftGate│RightGate│LeftGate│LeftGate│RightGate
targetLang	lo_LA│lo_LA│lo_LA│lo_LA│lo_LA│lo_LA│lo_LA│lo_LA
ru	Добавить товар│Не могу удалить Товара комплект (ы)│Вы уверены, что хотите удалить выбранные товар? комплекты│Описание товара Комплект│Ошибка при добавлении/обновлении товара комплекта│Информация о товаре комплекта│товар│товары
__index_level_5__	in│of│for│6│as│Revealed'│By
Example	2017_H_01│Salt Lake Bay
added_by	Eliana│Eliana│Eliana │Eliana │Eliana │Eliana│Eliana│Eliana
TEAM_CITY	Memphis│Memphis│Memphis│Memphis│Memphis│Memphis│Memphis│Memphis
value	অসমীয়া│Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili
ordenvalido	Caudata│Caudata│Caudata│Caudata│Caudata│Caudata
Wind Direction	South│East│ENE│NNE│NE│North│East│ESE
TEAM_CITY	Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City│Oklahoma City
_address_region	Arkansas│California│Washington│Pennsylvania
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
__index_level_29__	total)│of│of│people)
AlexMihai008	AlexMihai008│AlexMihai008│AlexMihai008│AlexMihai008│AlexMihai008│AlexMihai008│AlexMihai008│AlexMihai008
TEAM_CITY	LA│LA│LA│LA│LA│LA│LA│LA
Wind Direction	NNE│Variable│NNE│Calm│Calm│Calm│Calm│Calm
country_name_filter	Cyprus│Cyprus│Cyprus│Cyprus│Cyprus│Cyprus│Cyprus│Cyprus
country_code_filter	LV│LV│LV│LV│LV│LV│LV│LV
dc.coverage type=Country	coverage_type_country│Country│Please pick one or more countries the information product relate│select-m│copo-lookup2│countrieslist│dc.coverage│m
County	RANKIN│EAST BATON ROUGE│ST. HELENA│TANGIPAHOA│LAMAR│ST. MARY│WINSTON│LAMAR
longName	Grande Portage Resources Ltd.│Grande Portage Resources Ltd.│Grande Portage Resources Ltd.│Grande Portage Resources Ltd.
Wind	NNW│N│N│NNW│NNW│N│N│N
topic_description	WEATHER_CLIMATE│WEATHER_CLIMATE│WEATHER_CLIMATE│WEATHER_CLIMATE│WEATHER_CLIMATE│WEATHER_CLIMATE│WEATHER_CLIMATE│WEATHER_CLIMATE
PLANT	Four Corners│ALAMITOS_7│HUNTINGTON_BEACH_1-2│HUNTINGTON_BEACH_5│REDONDO_5-6│REDONDO_7-8│EL_SEGUNDO_1-2│EL_SEGUNDO_3-4
.dynamic_flags	WA│WA│WA
TEAM_CITY	San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio
Allegiances	Lannister│None│House Targaryen│House Greyjoy│Lannister│Baratheon│Night's Watch│None
__index_level_26__	But
Source	businessStandards│businessStandards│businessStandards│businessStandards│businessStandards│businessStandards│businessStandards│businessStandards
County	McCook│Pennington│Pennington│Custer│Perkins│Edmunds│Minnehaha│Edmunds
name	Abe
TEAM_CITY	San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio
dominant_object	Hand│Hand│Hand│Hand│HandToWrist│WristToElbow│Hand│HandToWrist
Wind Direction	NE│ENE│South│Calm│South│South│SSE│South
interaction_type	PickedUp│RightGate│RightGate│RightGate│RightGate│RightGate│Pushed│LeftGate
TEAM_CITY	San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio
name	Aberdeenshire│Angus│Argyll│Avon│Ayrshire│Banffshire│Bedfordshire│Berkshire
Wind Direction	NNE│NNE│North│NNE│NNE│NNE│North│North
Data provider	Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal
Wind Direction	East│Calm│SE│SSW│Calm│South│Calm│Calm
EstadoDoc	Si│Si│Si│Si│Si
Wind Direction	SSW│SSW│SW│Calm│SW│SSW│SW│SW
topic_description	MIDDLE_EAST│MIDDLE_EAST│MIDDLE_EAST│MIDDLE_EAST│MIDDLE_EAST│MIDDLE_EAST│MIDDLE_EAST│MIDDLE_EAST
Wind Direction	NNE│NE│NE│North│NNW│NNW│NNW│NW
Wind Direction	Variable│NNE│NNE│NNE│NE│NE│NE│NE
Race	Doomben│Geelong│Gawler│Doomben│Warwick Farm│Warwick Farm│Geelong│Gawler
Type	Review│Article│Meeting Abstract│Article│Article│Article│Article│Article
interaction_type	PickedUp│Pushed│RightGate│RightGate│LeftGate│RightGate│RightGate│LeftGate
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
property_owner_addrprovince	CA│CA│CA│CA│CA
was_home	South Alexandra│Lake Lisamouth│New Teresaborough│New Johnside│Edwardbury│Fernandezchester│South Jose│West Stephanieport
Wind Direction	NNE│NNE│NE│North│NNE│North│NNW│North
are	staycation.
groupingname	Grouping-1│Grouping-2│Grouping-3│Grouping-3│Grouping-2
Events	Fog│Fog│Fog
-.1	WARDEN
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
Wind Direction	East│East│East│East│ESE│SE│East│Calm
Provider State	NM│NM│NM│NM│NM│NM│NM│NM
country_name_filter	Cyprus│Cyprus│Cyprus│Cyprus│Cyprus│Cyprus│Cyprus│Cyprus
Method	Benchmark│Execute│Main│Exec│PerfRunData│Dispose│Dispose│Reinit
Event	Running│InputWindowOpen│KeyDown│KeySequenceStopped│KeyDown│KeyDown│KeyDown│KeySequenceStopped
name	Aberdeenshire│Angus│Argyll│Avon│Ayrshire│Banffshire│Bedfordshire│Berkshire
Wind Direction	ESE│ESE│ESE│ESE│ESE│ESE│East│East
CX	Men│the│the│Strategies/LSV
Wind Direction	SSW│SSW│SSW│SW│SSW│SSW│SW│SSW
Wind Direction	East│Calm│SE│SSW│Calm│South│Calm│Calm
Wind Direction	NNE│NNE│North│NNE│NNE│North│North│North
Tuscaloosa	Race│p/b│Cycling│&│&│Cycling│Grill
__index_level_2__	Men│Terun│Terun│Club
Department	Department
TEAM_CITY	New York│New York│New York│New York│New York│New York│New York│New York
Severe Significant	Significant│Significant│Significant│Not Significant│Significant
Aiiaa	Aiiaa│Aiiaa│Aiiaa│Aiiaa│Aiiaa│Aiiaa│Aiiaa│Aiiaa
RACE	White│White│Multi-Racial│Multi-Racial│Black/African American│Black/African American│American Indian│Asian
Events	Fog│Fog│Fog│Fog│Fog│Fog│Fog│Fog
Wind Direction	WNW│NW│NNW│NNW│Calm│SSW│SW│SSW
TEAM_CITY	Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota
Data provider	Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal
style	流行│民谣│民谣│流行│流行│摇滚│流行│流行
__index_level_1__	Road Race│Road Race│Road Race│Road Race│Road Race│Road Race│Road Race│Road Race
Wind Direction	ENE│ENE│ENE│ENE│ENE│NE│NE│NE
Events	Fog│Fog│Fog
location_code_filter	montana_province_BG│montana_province_BG│montana_province_BG│montana_province_BG│montana_province_BG│montana_province_BG│montana_province_BG│montana_province_BG
interaction_type	Pushed│PickedUp│RightGate│RightGate│RightGate│RightGate│RightGate│RightGate
__index_level_29__	total)│of│of│people)
groupingname	Grouping-1│Grouping-2│Grouping-3│Grouping-3│Grouping-2
property_owner_addrprovince	TX│TX
Input.word4	Criterion│Criterion│Criterion│Criterion│Criterion│Criterion│Criterion│Criterion
Wind	E│ESE│NNE│NNE│NE│NNE│NNE│NE
group	Design│Design│Development│Development│Development│Development│Development│Development
eye-color	eye-color│Brown│Brown│Blue│Green│Green│Brown
SCHEDULEDESCRIPTION * SCHEDULEREQUEST *	ALARMMESSAGE * ALARMREQUEST *│SEARCH WEATHER PORTLAND MAINE│GENDERNAME NAME│SRAIXFAILED│WEATHER FORECAST│WEATHER FOR SACRAMENTO│WEATHER IN *│WEATHER *
Wind Direction	Calm│Calm│ENE│Calm│Calm│ENE│East│East
Serogroup	VT10│NVT│VT7│NVT│NVT│VT13│NVT│NVT
Method	Main│Main│Main│Main│Main│Main│Main
Publishers	Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal│Land Journal
TEAM_CITY	San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio│San Antonio
Initialization	EquiRandom│RandGreedy│RandGreedy│EquiRandom│EquiRandom│RandGreedy│RandGreedy│EquiRandom
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
Wind Direction	NNE│Variable│NNE│Calm│Calm│Calm│Calm│Calm
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
TEAM_CITY	Golden State│Golden State│Golden State│Golden State│Golden State│Golden State│Golden State│Golden State
rarity	Common│Common│Common│Uncommon│Common│Common│Common│Common
__index_level_1__	Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium│Criterium
Provider State	AZ│AZ│AZ│AZ│AZ│AZ│AZ│AZ
interaction_type	Pushed│PickedUp│RightGate│LeftGate│LeftGate│LeftGate│LeftGate│LeftGate
Wind Direction	Variable│South│SSW│West│WSW│West│Calm│Variable
Region	Alabama│Alaska│Arizona│Arkansas│California│Colorado│Connecticut│Delaware
Region	Alabama│Alaska│Arizona│Arkansas│California│Colorado│Connecticut│Delaware
value	Abkhazian│Achinese│Acoli│Adangme│Adyghe│Afar│Afrihili│Afrikaans
TEAM_CITY	Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota│Minnesota
Дата изменения	Дата изменения│Дата изменения
TEAM_CITY	Philadelphia│Philadelphia│Philadelphia│Philadelphia│Philadelphia│Philadelphia│Philadelphia│Philadelphia
interaction_type	PickedUp│RightGate│LeftGate│RightGate│RightGate│LeftGate│RightGate│LeftGate
If the media is associated with other sections, distinct from it's primary instance, please note them here as you did for the initial placement, with document title and text references. If there is more than one association, separate them with semicolons.	Associations
DL State	FL│FL│FL│FL│FL│FL│FL│FL
GEO.display-label	Geography│United States│North Carolina│Durham County, North Carolina│Forsyth County, North Carolina│Guilford County, North Carolina
