column_name	gold	pred
T:StockSharp.Poloniex.PoloniexMessageAdapter/summary	representation.text.plain_text	representation.text.entity_name
135.60	representation.numeric.decimal_number	
92.14	representation.numeric.decimal_number	
145.07	representation.numeric.decimal_number	
134.11	representation.numeric.decimal_number	
species_code_6	representation.identifier.alphanumeric_id	representation.text.entity_name
name	geography.location.region	representation.text.entity_name
Source Type	representation.text.word	geography.location.region
country_name_filter	geography.location.country	geography.location.region
toCountry	geography.location.country	geography.location.region
id	geography.location.country_code	unknown
TEAM_ABBREVIATION	representation.text.word	identity.person.last_name
Type	representation.text.word	geography.transportation.iata_code
state	representation.text.word	geography.location.region
state	representation.text.word	geography.location.region
state	representation.text.word	geography.location.region
County	geography.location.region	representation.text.entity_name
person,state,district,vote,name,party	container.object.csv	representation.text.entity_name
State ID	representation.numeric.integer_number	representation.identifier.increment
finc_class_facet	representation.text.word	representation.text.entity_name
group_id:id	representation.identifier.alphanumeric_id	representation.text.plain_text
group_id:id	representation.identifier.alphanumeric_id	representation.text.plain_text
discriminator_type	representation.file.extension	representation.text.word
cell_type	representation.text.word	representation.identifier.alphanumeric_id
call_type	representation.text.plain_text	representation.text.entity_name
group_id:id	representation.identifier.alphanumeric_id	representation.text.plain_text
food_category	representation.text.word	representation.text.entity_name
Status	representation.text.plain_text	representation.text.entity_name
category	representation.text.plain_text	representation.text.entity_name
ID	representation.numeric.integer_number	representation.identifier.increment
ID	representation.numeric.integer_number	representation.identifier.increment
ID	representation.numeric.integer_number	representation.identifier.increment
ID	representation.numeric.integer_number	representation.identifier.increment
TEAM_ID	representation.numeric.integer_number	identity.medical.npi
TEAM_ID	representation.numeric.integer_number	identity.medical.npi
TEAM_ABBREVIATION	representation.text.word	geography.transportation.iata_code
TEAM_ABBREVIATION	representation.text.word	unknown
TEAM_ABBREVIATION	representation.text.word	geography.transportation.iata_code
LayerName	representation.identifier.alphanumeric_id	technology.cryptographic.token_urlsafe
ipni_id	representation.identifier.alphanumeric_id	unknown
coord_id	representation.identifier.alphanumeric_id	unknown
href	technology.internet.url	container.key_value.query_string
href	technology.internet.url	container.key_value.query_string
parent_id	technology.internet.url	container.key_value.query_string
parent_id	technology.internet.url	container.key_value.query_string
parent_id	technology.internet.url	container.key_value.query_string
parent_id	technology.internet.url	container.key_value.query_string
parent_id	technology.internet.url	container.key_value.query_string
signature_source_url	representation.text.plain_text	representation.text.entity_name
link_id	representation.identifier.alphanumeric_id	technology.internet.url
gis_longitude	geography.coordinate.longitude	geography.coordinate.latitude
iso_region	geography.location.region	geography.location.state_code
state	geography.location.state_code	geography.location.country_code
gis_nta_name	representation.text.plain_text	geography.location.city
county	geography.location.region	unknown
continent	representation.text.word	unknown
naic_code_description	representation.text.word	representation.text.entity_name
magType	representation.text.word	technology.internet.top_level_domain
net	representation.text.word	geography.location.region
ttxid	representation.identifier.alphanumeric_id	unknown
transaction_id	representation.identifier.alphanumeric_id	container.object.json
mag	representation.numeric.decimal_number	unknown
place	representation.text.plain_text	geography.address.full_address
block	representation.text.plain_text	representation.identifier.alphanumeric_id
1998	datetime.component.year	
conversation_no	representation.numeric.integer_number	datetime.component.year
regular_gross_paid	finance.currency.amount	representation.numeric.decimal_number
base_salary	finance.currency.amount	representation.numeric.decimal_number
total_ot_paid	finance.currency.amount	representation.numeric.decimal_number
total_other_pay	finance.currency.amount	representation.numeric.decimal_number
price	finance.currency.amount	representation.numeric.integer_number
borough	geography.location.region	representation.text.word
fbi_code	representation.identifier.alphanumeric_id	unknown
title_description	representation.text.plain_text	representation.text.entity_name
publicationyear	datetime.component.year	unknown
neighborhoods_analysis_boundaries	representation.text.plain_text	geography.location.city
Demo URL	representation.text.plain_text	representation.text.entity_name
