id	kind	verdict	current_gold	model_pred	panel_opus	c_opus	panel_sonnet	c_sonnet	panel_haiku	c_haiku	panel_adv	agree	mean_conf	sample_values
p0219	datetime-rerun	PROPOSE	datetime.date.iso	unknown	sql_standard	0.92	sql_standard	0.95	sql_standard	0.98	sql_standard	3	0.95	2021-09-30 00:00:00 | 2021-06-18 00:00:00 | 2021-03-26 00:00:00 | 2021-04-09 00:00:00 | 2021-10-07 00:00:00 | 2021-07-29 00:00:00 | 2021-03-11 00:00:00 | 2021-01-29 00:00:00 | 2021-09-03 00:00:00 | 2021-08-20 00:00:00 | 2021-09-10 00:00:00 | 2021-02-26 00:00:00 | 2021-11-30 00:00:00 | 2021-08-04 00:00:00 | 2021-06-08 00:00:00 | 2021-04-02 00:00:00 | 2021-01-16 00:00:00 | 2021-04-23 00:00:00 | 2021-03-19 00:00:00 | 2006-03-14 00:00:00
p0158	control	TAXONOMY_GAP	identity.commerce.isbn	identity.commerce.isbn	isbn	0.85	plain_text	0.8	alphanumeric_id	0.85	isbn	1	0.85	9781490648170 | 9781538707784 | 4065177170, 9784065177174 | 9780062699725 | 1665934042, 1665934050, 9781665934046, 9 | 9781478927440 | 9780307489609 | 9780062013842 | 9780307879349 | 1647551218, 9781647551216 | 9781339027432 | 0679600078 | 9781668642627 | 0062385437, 9780062385437, 9780062564122 | 9780451534545 | 0195147073, 9780195147070 | 1844087190, 9781844087198 | 9780763662844 | 9780358379690 | 1419759434, 9781419759437, 9781647005740
p0000	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg48752425 | msg48753832 | msg48758249 | msg48772807 | msg48782682 | msg48768193 | msg48772750 | msg48772777 | msg48772738 | msg48773150 | msg48782269
p0001	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg44192632 | msg45097085 | msg43126474 | msg43129207 | msg43138837 | msg43385523 | msg43566118 | msg42704325 | msg42705636 | msg41136632 | msg41140204 | msg41480839 | msg41624738 | msg45090518 | msg43137634 | msg42450630 | msg42456618 | msg41231658 | msg42069912 | msg42262501
p0002	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg34754680 | msg38982866 | msg40517279 | msg26207189 | msg31773977 | msg34612509 | msg35278551 | msg48449899 | msg35280114 | msg38832287 | msg25415045 | msg25946358 | msg31569344 | msg44301986 | msg45985623 | msg25411784 | msg33885892 | msg34738304 | msg25456057 | msg34608748
p0003	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg22219001 | msg22434175 | msg22472457 | msg22200915 | msg22446253 | msg22501646 | msg22199382 | msg22294473 | msg22760616 | msg22202674 | msg22218513 | msg22612488 | msg22496196 | msg22601255 | msg22199549 | msg22472122
p0004	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	identity.government.eu_vat	alphanumeric_id	0.95	alphanumeric_id	0.97	alphanumeric_id	0.92	alphanumeric_id	3	0.95	NCT01266837 | NCT01791790 | NCT01532453 | NCT02372318 | NCT01503372 | NCT02404844 | NCT01272557 | NCT01351246 | NCT02207582 | NCT03039387 | NCT03423576 | NCT02110043 | NCT01219244 | NCT01221779 | NCT02099968 | NCT02002871 | NCT02547519 | NCT02990039 | NCT02283099 | NCT02403986
p0005	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg43725348 | msg43785772 | msg46735507 | msg42031349 | msg43724139 | msg43724464 | msg35824974 | msg37300336 | msg35785380 | msg35796250 | msg43725639 | msg44579178 | msg38532922 | msg43725662 | msg46611265 | msg39524418 | msg43216652 | msg43256613 | msg35825097 | msg35825838
p0006	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg39236415 | msg20586116 | msg20607564 | msg20712606 | msg20010951 | msg20406427 | msg19955635 | msg19958852 | msg20592972 | msg20823044 | msg20107928 | msg20241261 | msg20449344 | msg19954685 | msg19954745 | msg19955070 | msg19958677 | msg20693658 | msg19984509 | msg20083303
p0007	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg22530129 | msg22622891 | msg22626604 | msg23083535 | msg22324860 | msg22353755 | msg22060044 | msg22129825 | msg22248696 | msg22324275 | msg22324453 | msg22021708 | msg22041556 | msg22054643 | msg22058032 | msg22496336 | msg23226352 | msg23821439 | msg22325398 | msg22355230
p0008	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg33998722 | msg34122501 | msg34123033 | msg34125306 | msg34125928 | msg34282022 | msg34234402 | msg32900530
p0009	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg34573197 | msg33457996 | msg33521749 | msg33999841 | msg34705402 | msg34572395 | msg34709554 | msg33459035 | msg34051632 | msg34703475
p0010	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg26220348 | msg26921635 | msg27517487 | msg27657198 | msg26141760 | msg26163532 | msg27351752 | msg27447732 | msg27519876 | msg26142899 | msg27542329 | msg27603133 | msg27692254 | msg26142239 | msg27513711 | msg27464516 | msg27517084 | msg29213917 | msg27691959 | msg27856156
p0011	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg31425150 | msg31575018 | msg32153069 | msg31422905 | msg30848675 | msg30879733 | msg31266907 | msg31794707 | msg31495316
p0012	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg45385367 | msg44487088 | msg44538474 | msg45167180 | msg45167281 | msg50779236 | msg44649397 | msg45170755 | msg45527373 | msg45831808 | msg47515161 | msg50641942 | msg44567722 | msg44571669 | msg45267901 | msg49924489 | msg44404512 | msg44571350 | msg44646806 | msg44789267
p0013	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg47460678 | msg45683553 | msg45934510 | msg45983442 | msg46135702 | msg46142232 | msg46142844 | msg46154613 | msg44604546 | msg45575864 | msg44411661 | msg44558685 | msg46574430 | msg47447526 | msg45864353 | msg46132266 | msg45579035 | msg44562502 | msg44596023 | msg46497888
p0014	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg40062568 | msg40156439 | msg39181428 | msg39365128 | msg38058978 | msg38346324 | msg35602857 | msg35604708 | msg36066763 | msg35164089 | msg35185236 | msg35185584 | msg39689944 | msg39849081 | msg40156287 | msg39183005 | msg36832379 | msg38136832 | msg39838010 | msg38749068
p0015	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg34762657 | msg34765236 | msg35789702 | msg35896866 | msg40328495 | msg35269477 | msg40328145 | msg34761961 | msg35879578 | msg36030094 | msg35890723 | msg36382269
p0016	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.93	alphanumeric_id	0.92	alphanumeric_id	0.88	alphanumeric_id	3	0.91	R18HS025359 | R01NS112242 | R01NS100806 | R01NS121154 | R01HL147355 | R44HL145826 | R01HL137794 | R01NS119596 | R01HL137734
p0017	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.93	alphanumeric_id	0.92	alphanumeric_id	0.88	alphanumeric_id	3	0.91	R18HS025359 | R01NS112242 | R01NS100806 | R01NS121154 | R01NS119596 | R01HL137734 | R01HL147355 | R44HL145826 | R01HL137794
p0018	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.93	alphanumeric_id	0.92	alphanumeric_id	0.88	alphanumeric_id	3	0.91	R18HS025359 | R01NS112242 | R01NS100806 | R01HL147355 | R01HL137794 | R01NS119596 | R01HL137734 | R01NS121154
p0019	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.93	alphanumeric_id	0.92	alphanumeric_id	0.88	alphanumeric_id	3	0.91	R18HS025359 | R01NS112242 | R01NS100806 | R01HL147355 | R01HL137794 | R01NS119596 | R01HL137734 | R01NS121154
p0020	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.93	alphanumeric_id	0.92	alphanumeric_id	0.88	alphanumeric_id	3	0.91	R01AI134982 | R01NS121154 | R18HS025359 | R01NS112242 | R01NS100806 | R01GM123193 | R01HL147355 | R01NS119596 | R01HL137734 | R01HL137794
p0021	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg22374900 | msg22239576 | msg22240903 | msg22242893 | msg22432856 | msg23693872 | msg22231882 | msg22309714 | msg22359855 | msg22370876 | msg22374876 | msg23696614 | msg24017454 | msg22358879 | msg22360435 | msg22374950 | msg22377303 | msg22709775 | msg22770161 | msg24026320
p0022	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg48425064 | msg40212786 | msg41218682 | msg41333360 | msg34485745 | msg35089671 | msg47535264 | msg37290827 | msg39062244 | msg39999919 | msg42114254 | msg34510040 | msg43117697 | msg47861133 | msg37291468 | msg37329889 | msg38433413 | msg40019744 | msg34531476 | msg45211492
p0023	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	technology.internet.url	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg20674161 | msg25480114 | msg21250264 | msg21303089 | msg20762312 | msg20762760 | msg20674143 | msg20767414 | msg21303309 | msg21303498 | msg20762503 | msg20771907 | msg20762182 | msg21302044 | msg20780492 | msg21360826 | msg20899115 | msg20673946 | msg20795660 | msg21160237
p0024	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg21324948 | msg20673878 | msg25480114 | msg28259458 | msg20840926 | msg21250264 | msg21285923 | msg20674125 | msg20739716 | msg20741255 | msg20780492 | msg20794722 | msg21324126 | msg24919317 | msg20810161 | msg20861323 | msg21162235 | msg21303089 | msg20674143 | msg20684715
p0025	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg41579653 | msg42100227 | msg42511840 | msg43672719 | msg44975455 | msg45711562 | msg35180409 | msg35203281 | msg35356267 | msg35563825 | msg38308274 | msg38880396 | msg39792829 | msg34541907 | msg34542390 | msg34551726 | msg34619275 | msg34621454 | msg43501975 | msg35207410
p0026	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg30921375 | msg32374478 | msg28221312 | msg29537558 | msg24586125 | msg24589119 | msg24858689 | msg30759283 | msg30782330 | msg30928529 | msg30966085 | msg25507263 | msg25883987 | msg27910129 | msg28177381 | msg28610190 | msg29132900 | msg24611068 | msg24858791 | msg24907102
p0027	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg49291527 | msg51225427 | msg41603989 | msg41840212 | msg44235292 | msg45626099 | msg38911190 | msg38943153 | msg41096589 | msg41333632 | msg37623015 | msg38213805 | msg38545189 | msg38789409 | msg49039379 | msg37966939 | msg38377055 | msg38725021 | msg46435986 | msg48730851
p0028	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg44597644 | msg44664210 | msg43805833 | msg43842638 | msg43858799 | msg43877762 | msg44088901 | msg44120268 | msg43693674 | msg43717516 | msg43784457 | msg43426825 | msg43631133 | msg43638751 | msg44811207 | msg44842909 | msg44693796 | msg43858669 | msg43869862 | msg43666534
p0029	header-heuristic	CONFIRM	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	0.95	alphanumeric_id	3	0.95	msg27757506 | msg28193510 | msg48809882 | msg28065602 | msg28206718 | msg32396143 | msg40990647 | msg27137528 | msg27748900 | msg28142528 | msg27145981 | msg44356613 | msg27135703 | msg44349172 | msg27136117 | msg27864401 | msg27137009 | msg27832715 | msg28193001 | msg41024425
p0030	header-heuristic	CONFIRM	geography.location.country_code	geography.location.country_code	country_code	0.93	country_code	0.97	country_code	0.98	country_code	3	0.96	ES | EE | IT | LV | FI | SE | AT | CZ | IE | DE | LT | NO
p0031	header-heuristic	CONFIRM	geography.location.country_code	geography.location.country_code	country_code	0.85	country_code	0.85	country_code	0.75	country_code	3	0.82	BA | BR | CU | ES | JP | KE | LU | NY | PK | PA | SG | SY | TT | ZA | BI | BF | CO | EE | FR | GR
p0032	header-heuristic	CONFIRM	geography.location.country_code	geography.location.country_code	country_code	0.9	country_code	0.95	country_code	0.9	country_code	3	0.92	DO | PA | JP | KE | TT | BR | PK | ES | SG | LU | ZA | ZW | TR | VE | GR | RU | PT | NZ | SK | CO
p0033	header-heuristic	CONFIRM	geography.location.country_code	geography.location.country_code	country_code	0.85	country_code	0.88	country_code	0.9	country_code	3	0.88	RU | ZZ | TW | US
p0034	header-heuristic	CONFIRM	geography.location.country_code	geography.location.country_code	country_code	0.9	country_code	0.95	country_code	0.88	country_code	3	0.91	JP | BR | GN | ES | KE | RU | CO | NG | GR | LR | SO | NU | AU | MX | IR | NC | US | CN | CF | CG
p0035	header-heuristic	CONFIRM	geography.location.country_code	geography.location.country_code	country_code	0.9	country_code	0.95	country_code	0.95	country_code	3	0.93	BR | JP | IS | CN | RO | AR | US | CA | PH | TR | IT | FR | AZ | KR | ID | GB | SE
p0036	header-heuristic	CONFIRM	geography.location.country_code	geography.location.country_code	country_code	0.93	country_code	0.97	country_code	0.95	country_code	3	0.95	AW | BA | BL | BR | BS | CU | CW | DO | ES | GN | IO | JP | KE | LU | PA | PK | SB | SG | SX | SY
p0037	header-heuristic	CONFIRM	geography.location.country_code	geography.location.country_code	country_code	0.9	country_code	0.92	country_code	0.9	country_code	3	0.91	AQ | BB | BF | BI | BJ | CO | CX | DJ | EE | FR | GD | GP | GR | GZ | IT | JE | LR | MA | MD | MG
p0038	header-heuristic	CONFIRM	geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.8	latitude	0.95	latitude	0.92	latitude	3	0.89	-0.13504 | -0.25207 | 0.32747 | 0.22391 | -0.19361 | 0.09497 | 0.04372 | 0.02757 | -0.05708 | -0.052157669 | -0.33971 | 0.22209 | 0.18209 | 0.24053 | -0.32064 | 0.01512 | -0.10167 | -0.29068 | 0.1934 | -0.01805
p0039	header-heuristic	CONFIRM	geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.97	latitude	0.98	latitude	3	0.97	51.5015571 | 51.5020422 | 51.5000137 | 51.4976657 | 51.495552 | 51.4947565 | 51.4944193 | 51.4923451 | 51.4901563 | 51.4896423 | 51.5072372 | 51.5056937 | 51.5041991 | 51.5026149 | 51.4933363 | 51.4903884 | 51.4994781 | 51.4905881 | 51.5097491 | 51.50847
p0040	header-heuristic	CONFIRM	geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.97	latitude	0.98	latitude	3	0.97	51.489873 | 51.4917018 | 51.4932633 | 51.4930127 | 51.4895494 | 51.4894473 | 51.4890546 | 51.4922764 | 51.4906146 | 51.4890816 | 51.4898909 | 51.4937202 | 51.4890027 | 51.4895661 | 51.4914387 | 51.4929864 | 51.4899562 | 51.4929671 | 51.4920177 | 51.4925266
p0041	header-heuristic	CONFIRM	geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.97	latitude	0.98	latitude	3	0.97	51.4961527 | 51.4994678 | 51.5021952 | 51.5095542 | 51.5124009 | 51.5132365 | 51.5021825 | 51.5029725 | 51.5108883 | 51.512563 | 51.5129373 | 51.5129328 | 51.5130066 | 51.4891219 | 51.4889321 | 51.4873827 | 51.4870399 | 51.5113499 | 51.5116264 | 51.5131349
p0042	header-heuristic	CONFIRM	geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.97	latitude	0.98	latitude	3	0.97	51.4883844 | 51.4884584 | 51.4883838 | 51.4885561 | 51.4885431 | 51.4883893
p0043	header-heuristic	CONFIRM	geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.97	latitude	0.98	latitude	3	0.97	51.5457014 | 51.5580272 | 51.5594043 | 51.5637727 | 51.5658845 | 51.5428055 | 51.5440844 | 51.5622021 | 51.5666088 | 51.5358685 | 51.5403977 | 51.544862 | 51.5482261 | 51.5606842 | 51.5328815 | 51.5433748 | 51.5494018 | 51.5553771 | 51.556671 | 51.5346365
p0044	header-heuristic	CONFIRM	geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.97	latitude	0.98	latitude	3	0.97	51.4984572 | 51.4999505 | 51.5008342 | 51.5011271 | 51.5131418 | 51.5161967 | 51.498683 | 51.5019279 | 51.5082006 | 51.5099176 | 51.5110493 | 51.5135224 | 51.5177678 | 51.5179044 | 51.5170936 | 51.5041901 | 51.5170239 | 51.4979847 | 51.4985072 | 51.4983173
p0045	header-heuristic	CONFIRM	geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.97	latitude	0.98	latitude	3	0.97	51.5121433 | 51.511093 | 51.5130308 | 51.5311716 | 51.5168207 | 51.5097924 | 51.5169181 | 51.5170538 | 51.5169567 | 51.5167033 | 51.5098792 | 51.5121031 | 51.5123415 | 51.5147856 | 51.5193997 | 51.5142214 | 51.5130703 | 51.526735 | 51.5149147 | 51.5111106
p0046	header-heuristic	CONFIRM	geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.93	latitude	0.92	latitude	0.92	latitude	3	0.92	51.4217918 | 51.424119 | 51.4216009 | 51.4192815 | 0.0 | 51.4190877
p0047	header-heuristic	CONFIRM	geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.97	latitude	0.98	latitude	3	0.97	51.5063183 | 51.506279 | 51.5067549 | 51.5062802 | 51.5062534
p0048	header-heuristic	CONFIRM	geography.coordinate.latitude	geography.coordinate.latitude	latitude	0.95	latitude	0.97	latitude	0.98	latitude	3	0.97	51.651484 | 51.6503031 | 51.6523343 | 51.6520247 | 51.6522614 | 51.6507724
