bucket	column_name	gold	sense_pred	composed_pred	sha
c_both_wrong	Type	representation.text.word	geography.transportation.iata_code	geography.transportation.iata_code	3b453ba62475
c_both_wrong	April 9, 2021 9:32 PM UTC	representation.text.plain_text	representation.text.entity_name	representation.text.entity_name	3b574808c822
d_both_right	Since	datetime.date.iso	datetime.date.iso	datetime.date.iso	3bf5344464fd
a_sharpen_rescued	vx	representation.numeric.decimal_number	geography.coordinate.longitude	representation.numeric.decimal_number	3e34b460cdda
d_both_right	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	3e6f7bdc3542
d_both_right	1998	datetime.component.year	datetime.component.year	datetime.component.year	3e7ba7492125
d_both_right	TEAM_CITY	geography.location.city	geography.location.city	geography.location.city	3e9f8aa99b8f
a_sharpen_rescued	z.exposure	representation.numeric.decimal_number	geography.coordinate.latitude	representation.numeric.decimal_number	3ea563b60886
d_both_right	gender	identity.person.gender	identity.person.gender	identity.person.gender	3eaf9b3d5dfb
d_both_right	fiftyTwoWeekLowChange	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	3ee578ebe539
a_sharpen_rescued	exchange	representation.text.word	geography.location.country_code	representation.text.word	3ff70a03583e
d_both_right	URL	technology.internet.url	technology.internet.url	technology.internet.url	402e8c6cb9be
b_sharpen_broke	ipni_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	unknown	405e2174ed53
d_both_right	voteId	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	40cd636d7f24
a_sharpen_rescued	doi_url	technology.internet.url	datetime.timestamp.iso_8601_micros_offset	technology.internet.url	40fee9383fbc
d_both_right	lat	geography.coordinate.latitude	geography.coordinate.latitude	geography.coordinate.latitude	414edab6aa26
d_both_right	__index_level_7__	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	41a81fd616df
d_both_right	date	datetime.date.iso	datetime.date.iso	datetime.date.iso	41f20a493e89
c_both_wrong	noc	representation.numeric.integer_number	representation.boolean.binary	representation.boolean.binary	426a5afb5b1a
a_sharpen_rescued	Comments	representation.numeric.integer_number	representation.boolean.binary	representation.numeric.integer_number	4294dae319d1
d_both_right	Fan-Out	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	42d7c5993bd1
a_sharpen_rescued	Publisher URL	representation.numeric.integer_number	representation.boolean.binary	representation.numeric.integer_number	42eda2e7e601
a_sharpen_rescued	Lng	geography.coordinate.longitude	representation.numeric.decimal_number	geography.coordinate.longitude	4306a893cf54
a_sharpen_rescued	time-stamp	representation.numeric.decimal_number	geography.coordinate.longitude	representation.numeric.decimal_number	43a4a829cb91
d_both_right	lambda	representation.numeric.decimal_number	representation.numeric.decimal_number	representation.numeric.decimal_number	43b2ec932062
d_both_right	Primary ISBN13	identity.commerce.isbn	identity.commerce.isbn	identity.commerce.isbn	44554b3411b7
b_sharpen_broke	priceEpsCurrentYear	representation.numeric.decimal_number	representation.numeric.decimal_number	unknown	4511a9869209
d_both_right	entry-date	datetime.date.iso	datetime.date.iso	datetime.date.iso	45355acdff04
d_both_right	URL	technology.internet.url	technology.internet.url	technology.internet.url	45693a7e008a
d_both_right	CountryCode	geography.location.country_code	geography.location.country_code	geography.location.country_code	459d0b28dd66
d_both_right	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	4621bb40eda2
a_sharpen_rescued	TZ	datetime.offset.iana	geography.transportation.iata_code	datetime.offset.iana	46c4f419cc99
d_both_right	basionym_id	representation.identifier.uuid	representation.identifier.uuid	representation.identifier.uuid	472bdabcba39
d_both_right	url_opendata	technology.internet.url	technology.internet.url	technology.internet.url	47bcf56d275e
d_both_right	id	geography.location.country_code	geography.location.country_code	geography.location.country_code	482a766bea03
a_sharpen_rescued	sId	representation.numeric.integer_number	datetime.component.year	representation.numeric.integer_number	4851e5a59dd9
d_both_right	guardian_relation	representation.text.word	representation.text.word	representation.text.word	4881d3b99396
d_both_right	Year	datetime.component.year	datetime.component.year	datetime.component.year	488a6fa34252
d_both_right	arrest	representation.boolean.terms	representation.boolean.terms	representation.boolean.terms	48e9044292d1
c_both_wrong	block	representation.text.plain_text	geography.address.street_name	geography.address.street_name	48e9044292d1
d_both_right	case_number	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	48e9044292d1
c_both_wrong	date	datetime.timestamp.sql_standard	datetime.offset.utc	datetime.timestamp.iso_milliseconds	48e9044292d1
c_both_wrong	fbi_code	representation.identifier.alphanumeric_id	representation.numeric.integer_number	representation.numeric.integer_number	48e9044292d1
d_both_right	iucr	representation.identifier.numeric_code	representation.identifier.numeric_code	representation.identifier.numeric_code	48e9044292d1
a_sharpen_rescued	latitude	geography.coordinate.latitude	geography.coordinate.longitude	geography.coordinate.latitude	48e9044292d1
c_both_wrong	location_description	representation.text.word	geography.address.street_suffix	geography.address.street_suffix	48e9044292d1
a_sharpen_rescued	longitude	geography.coordinate.longitude	geography.coordinate.latitude	geography.coordinate.longitude	48e9044292d1
c_both_wrong	primary_type	representation.text.word	representation.text.entity_name	representation.text.entity_name	48e9044292d1
c_both_wrong	updated_on	datetime.timestamp.sql_standard	datetime.timestamp.iso_milliseconds	datetime.timestamp.iso_milliseconds	48e9044292d1
d_both_right	ward	representation.numeric.integer_number	representation.numeric.integer_number	representation.numeric.integer_number	48e9044292d1
c_both_wrong	x_coordinate	representation.numeric.integer_number	datetime.epoch.unix_seconds	unknown	48e9044292d1
c_both_wrong	y_coordinate	representation.numeric.integer_number	datetime.epoch.unix_microseconds	datetime.epoch.unix_microseconds	48e9044292d1
a_sharpen_rescued	year	datetime.component.year	datetime.date.compact_ym	datetime.component.year	48e9044292d1
a_sharpen_rescued	longTermDirection	representation.numeric.integer_number	representation.boolean.binary	representation.numeric.integer_number	49392bca41c1
c_both_wrong	idPedido	datetime.epoch.unix_milliseconds	identity.commerce.isbn	representation.numeric.integer_number	49742c948357
d_both_right	County	geography.location.region	geography.location.region	geography.location.region	4981ed215710
d_both_right	country_code	geography.location.country_code	geography.location.country_code	geography.location.country_code	499ca918d7af
d_both_right	release_year	datetime.component.year	datetime.component.year	datetime.component.year	49aecf46ed1a
a_sharpen_rescued	Count_read	representation.numeric.integer_number	datetime.component.year	representation.numeric.integer_number	4a584a9db937
d_both_right	msg_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	representation.identifier.alphanumeric_id	4a584a9db937
